window,trial,session,subject,app,group,cohort,rater
preCS,1,LTMT,a,0,RET,summer15,KT
preCS,2,LTMT,a,0,RET,summer15,KT
preCS,3,LTMT,a,0,RET,summer15,KT
preCS,4,LTMT,a,0,RET,summer15,KT
CS1,1,LTMT,a,0,RET,summer15,KT
CS1,2,LTMT,a,0,RET,summer15,KT
CS1,3,LTMT,a,0,RET,summer15,KT
CS1,4,LTMT,a,0,RET,summer15,KT
CS2,1,LTMT,a,0,RET,summer15,KT
CS2,2,LTMT,a,0,RET,summer15,KT
CS2,3,LTMT,a,0,RET,summer15,KT
CS2,4,LTMT,a,0,RET,summer15,KT
CS3,1,LTMT,a,0,RET,summer15,KT
CS3,2,LTMT,a,0,RET,summer15,KT
CS3,3,LTMT,a,0,RET,summer15,KT
CS3,4,LTMT,a,0,RET,summer15,KT
CS4,1,LTMT,a,0,RET,summer15,KT
CS4,2,LTMT,a,0,RET,summer15,KT
CS4,3,LTMT,a,0,RET,summer15,KT
CS4,4,LTMT,a,0,RET,summer15,KT
preCS,1,RT,a,0,RET,summer15,KT
preCS,2,RT,a,3,RET,summer15,KT
preCS,3,RT,a,0,RET,summer15,KT
preCS,4,RT,a,3,RET,summer15,KT
CS1,1,RT,a,0,RET,summer15,KT
CS1,2,RT,a,0,RET,summer15,KT
CS1,3,RT,a,2,RET,summer15,KT
CS1,4,RT,a,0,RET,summer15,KT
CS2,1,RT,a,0,RET,summer15,KT
CS2,2,RT,a,2,RET,summer15,KT
CS2,3,RT,a,0,RET,summer15,KT
CS2,4,RT,a,0,RET,summer15,KT
CS3,1,RT,a,0,RET,summer15,KT
CS3,2,RT,a,1,RET,summer15,KT
CS3,3,RT,a,0,RET,summer15,KT
CS3,4,RT,a,0,RET,summer15,KT
CS4,1,RT,a,0,RET,summer15,KT
CS4,2,RT,a,0,RET,summer15,KT
CS4,3,RT,a,0,RET,summer15,KT
CS4,4,RT,a,0,RET,summer15,KT
preCS,1,LTMT,b,0,RET,summer15,KT
preCS,2,LTMT,b,0,RET,summer15,KT
preCS,3,LTMT,b,0,RET,summer15,KT
preCS,4,LTMT,b,0,RET,summer15,KT
CS1,1,LTMT,b,0,RET,summer15,KT
CS1,2,LTMT,b,0,RET,summer15,KT
CS1,3,LTMT,b,0,RET,summer15,KT
CS1,4,LTMT,b,0,RET,summer15,KT
CS2,1,LTMT,b,0,RET,summer15,KT
CS2,2,LTMT,b,0,RET,summer15,KT
CS2,3,LTMT,b,0,RET,summer15,KT
CS2,4,LTMT,b,0,RET,summer15,KT
CS3,1,LTMT,b,0,RET,summer15,KT
CS3,2,LTMT,b,0,RET,summer15,KT
CS3,3,LTMT,b,0,RET,summer15,KT
CS3,4,LTMT,b,0,RET,summer15,KT
CS4,1,LTMT,b,0,RET,summer15,KT
CS4,2,LTMT,b,0,RET,summer15,KT
CS4,3,LTMT,b,0,RET,summer15,KT
CS4,4,LTMT,b,0,RET,summer15,KT
preCS,1,RT,b,0,RET,summer15,KT
preCS,2,RT,b,0,RET,summer15,KT
preCS,3,RT,b,0,RET,summer15,KT
preCS,4,RT,b,2,RET,summer15,KT
CS1,1,RT,b,1,RET,summer15,KT
CS1,2,RT,b,0,RET,summer15,KT
CS1,3,RT,b,0,RET,summer15,KT
CS1,4,RT,b,0,RET,summer15,KT
CS2,1,RT,b,2,RET,summer15,KT
CS2,2,RT,b,0,RET,summer15,KT
CS2,3,RT,b,3,RET,summer15,KT
CS2,4,RT,b,1,RET,summer15,KT
CS3,1,RT,b,1,RET,summer15,KT
CS3,2,RT,b,0,RET,summer15,KT
CS3,3,RT,b,2,RET,summer15,KT
CS3,4,RT,b,1,RET,summer15,KT
CS4,1,RT,b,0,RET,summer15,KT
CS4,2,RT,b,0,RET,summer15,KT
CS4,3,RT,b,0,RET,summer15,KT
CS4,4,RT,b,0,RET,summer15,KT
preCS,1,LTMT,c,0,NORET,summer15,KT
preCS,2,LTMT,c,0,NORET,summer15,KT
preCS,3,LTMT,c,0,NORET,summer15,KT
preCS,4,LTMT,c,0,NORET,summer15,KT
CS1,1,LTMT,c,0,NORET,summer15,KT
CS1,2,LTMT,c,0,NORET,summer15,KT
CS1,3,LTMT,c,2,NORET,summer15,KT
CS1,4,LTMT,c,0,NORET,summer15,KT
CS2,1,LTMT,c,0,NORET,summer15,KT
CS2,2,LTMT,c,0,NORET,summer15,KT
CS2,3,LTMT,c,4,NORET,summer15,KT
CS2,4,LTMT,c,0,NORET,summer15,KT
CS3,1,LTMT,c,1,NORET,summer15,KT
CS3,2,LTMT,c,1,NORET,summer15,KT
CS3,3,LTMT,c,0,NORET,summer15,KT
CS3,4,LTMT,c,0,NORET,summer15,KT
CS4,1,LTMT,c,1,NORET,summer15,KT
CS4,2,LTMT,c,0,NORET,summer15,KT
CS4,3,LTMT,c,0,NORET,summer15,KT
CS4,4,LTMT,c,0,NORET,summer15,KT
preCS,1,RT,c,0,NORET,summer15,KT
preCS,2,RT,c,0,NORET,summer15,KT
preCS,3,RT,c,0,NORET,summer15,KT
preCS,4,RT,c,0,NORET,summer15,KT
CS1,1,RT,c,0,NORET,summer15,KT
CS1,2,RT,c,0,NORET,summer15,KT
CS1,3,RT,c,0,NORET,summer15,KT
CS1,4,RT,c,0,NORET,summer15,KT
CS2,1,RT,c,1,NORET,summer15,KT
CS2,2,RT,c,0,NORET,summer15,KT
CS2,3,RT,c,2,NORET,summer15,KT
CS2,4,RT,c,0,NORET,summer15,KT
CS3,1,RT,c,1,NORET,summer15,KT
CS3,2,RT,c,1,NORET,summer15,KT
CS3,3,RT,c,0,NORET,summer15,KT
CS3,4,RT,c,0,NORET,summer15,KT
CS4,1,RT,c,0,NORET,summer15,KT
CS4,2,RT,c,0,NORET,summer15,KT
CS4,3,RT,c,0,NORET,summer15,KT
CS4,4,RT,c,1,NORET,summer15,KT
preCS,1,LTMT,d,0,NORET,summer15,KT
preCS,2,LTMT,d,0,NORET,summer15,KT
preCS,3,LTMT,d,0,NORET,summer15,KT
preCS,4,LTMT,d,0,NORET,summer15,KT
CS1,1,LTMT,d,0,NORET,summer15,KT
CS1,2,LTMT,d,2,NORET,summer15,KT
CS1,3,LTMT,d,0,NORET,summer15,KT
CS1,4,LTMT,d,0,NORET,summer15,KT
CS2,1,LTMT,d,0,NORET,summer15,KT
CS2,2,LTMT,d,4,NORET,summer15,KT
CS2,3,LTMT,d,0,NORET,summer15,KT
CS2,4,LTMT,d,0,NORET,summer15,KT
CS3,1,LTMT,d,0,NORET,summer15,KT
CS3,2,LTMT,d,1,NORET,summer15,KT
CS3,3,LTMT,d,0,NORET,summer15,KT
CS3,4,LTMT,d,0,NORET,summer15,KT
CS4,1,LTMT,d,0,NORET,summer15,KT
CS4,2,LTMT,d,0,NORET,summer15,KT
CS4,3,LTMT,d,0,NORET,summer15,KT
CS4,4,LTMT,d,0,NORET,summer15,KT
preCS,1,RT,d,0,NORET,summer15,KT
preCS,2,RT,d,0,NORET,summer15,KT
preCS,3,RT,d,0,NORET,summer15,KT
preCS,4,RT,d,0,NORET,summer15,KT
CS1,1,RT,d,1,NORET,summer15,KT
CS1,2,RT,d,0,NORET,summer15,KT
CS1,3,RT,d,0,NORET,summer15,KT
CS1,4,RT,d,0,NORET,summer15,KT
CS2,1,RT,d,0,NORET,summer15,KT
CS2,2,RT,d,3,NORET,summer15,KT
CS2,3,RT,d,0,NORET,summer15,KT
CS2,4,RT,d,0,NORET,summer15,KT
CS3,1,RT,d,0,NORET,summer15,KT
CS3,2,RT,d,2,NORET,summer15,KT
CS3,3,RT,d,0,NORET,summer15,KT
CS3,4,RT,d,0,NORET,summer15,KT
CS4,1,RT,d,2,NORET,summer15,KT
CS4,2,RT,d,0,NORET,summer15,KT
CS4,3,RT,d,0,NORET,summer15,KT
CS4,4,RT,d,0,NORET,summer15,KT
preCS,1,LTMT,e,0,NORET,summer15,KT
preCS,2,LTMT,e,0,NORET,summer15,KT
preCS,3,LTMT,e,0,NORET,summer15,KT
