window,trial,session,subject,app,cohort,group,rater
preCS,1,T1,a,0,summer15,RET,SL
preCS,2,T1,a,0,summer15,RET,SL
preCS,3,T1,a,0,summer15,RET,SL
preCS,4,T1,a,0,summer15,RET,SL
preCS,5,T1,a,0,summer15,RET,SL
preCS,6,T1,a,0,summer15,RET,SL
preCS,7,T1,a,0,summer15,RET,SL
preCS,8,T1,a,3,summer15,RET,SL
CS1,1,T1,a,0,summer15,RET,SL
CS1,2,T1,a,0,summer15,RET,SL
CS1,3,T1,a,0,summer15,RET,SL
CS1,4,T1,a,0,summer15,RET,SL
CS1,5,T1,a,3,summer15,RET,SL
CS1,6,T1,a,0,summer15,RET,SL
CS1,7,T1,a,0,summer15,RET,SL
CS1,8,T1,a,0,summer15,RET,SL
CS2,1,T1,a,0,summer15,RET,SL
CS2,2,T1,a,1,summer15,RET,SL
CS2,3,T1,a,0,summer15,RET,SL
CS2,4,T1,a,0,summer15,RET,SL
CS2,5,T1,a,3,summer15,RET,SL
CS2,6,T1,a,0,summer15,RET,SL
CS2,7,T1,a,0,summer15,RET,SL
CS2,8,T1,a,2,summer15,RET,SL
preCS,1,T2,a,0,summer15,RET,SL
preCS,2,T2,a,0,summer15,RET,SL
preCS,3,T2,a,0,summer15,RET,SL
preCS,4,T2,a,1,summer15,RET,SL
preCS,5,T2,a,1,summer15,RET,SL
preCS,6,T2,a,0,summer15,RET,SL
preCS,7,T2,a,0,summer15,RET,SL
preCS,8,T2,a,0,summer15,RET,SL
CS1,1,T2,a,0,summer15,RET,SL
CS1,2,T2,a,0,summer15,RET,SL
CS1,3,T2,a,0,summer15,RET,SL
CS1,4,T2,a,0,summer15,RET,SL
CS1,5,T2,a,0,summer15,RET,SL
CS1,6,T2,a,0,summer15,RET,SL
CS1,7,T2,a,0,summer15,RET,SL
CS1,8,T2,a,0,summer15,RET,SL
CS2,1,T2,a,1,summer15,RET,SL
CS2,2,T2,a,0,summer15,RET,SL
CS2,3,T2,a,2,summer15,RET,SL
CS2,4,T2,a,0,summer15,RET,SL
CS2,5,T2,a,0,summer15,RET,SL
CS2,6,T2,a,0,summer15,RET,SL
CS2,7,T2,a,0,summer15,RET,SL
CS2,8,T2,a,0,summer15,RET,SL
preCS,1,T3,a,0,summer15,RET,SL
preCS,2,T3,a,0,summer15,RET,SL
preCS,3,T3,a,0,summer15,RET,SL
preCS,4,T3,a,0,summer15,RET,SL
preCS,5,T3,a,0,summer15,RET,SL
preCS,6,T3,a,0,summer15,RET,SL
preCS,7,T3,a,4,summer15,RET,SL
preCS,8,T3,a,4,summer15,RET,SL
CS1,1,T3,a,0,summer15,RET,SL
CS1,2,T3,a,0,summer15,RET,SL
CS1,3,T3,a,0,summer15,RET,SL
CS1,4,T3,a,0,summer15,RET,SL
CS1,5,T3,a,0,summer15,RET,SL
CS1,6,T3,a,0,summer15,RET,SL
CS1,7,T3,a,4,summer15,RET,SL
