window,trial,session,subject,con,group,cohort,rater
CS3,1,LTMT,aa,4,NORET,winter15,KT
CS3,2,LTMT,aa,2,NORET,winter15,KT
CS3,3,LTMT,aa,0,NORET,winter15,KT
CS3,4,LTMT,aa,0,NORET,winter15,KT
CS4,1,LTMT,aa,4,NORET,winter15,KT
CS4,2,LTMT,aa,4,NORET,winter15,KT
CS4,3,LTMT,aa,0,NORET,winter15,KT
CS4,4,LTMT,aa,0,NORET,winter15,KT
CS3,1,RT,aa,4,NORET,winter15,KT
CS3,2,RT,aa,0,NORET,winter15,KT
CS3,3,RT,aa,2,NORET,winter15,KT
CS3,4,RT,aa,1,NORET,winter15,KT
CS4,1,RT,aa,2,NORET,winter15,KT
CS4,2,RT,aa,2,NORET,winter15,KT
CS4,3,RT,aa,0,NORET,winter15,KT
CS4,4,RT,aa,0,NORET,winter15,KT
CS3,1,LTMT,ab,4,NORET,winter15,KT
CS3,2,LTMT,ab,0,NORET,winter15,KT
CS3,3,LTMT,ab,0,NORET,winter15,KT
CS3,4,LTMT,ab,0,NORET,winter15,KT
CS4,1,LTMT,ab,2,NORET,winter15,KT
CS4,2,LTMT,ab,0,NORET,winter15,KT
CS4,3,LTMT,ab,0,NORET,winter15,KT
CS4,4,LTMT,ab,0,NORET,winter15,KT
CS3,1,RT,ab,4,NORET,winter15,KT
CS3,2,RT,ab,0,NORET,winter15,KT
CS3,3,RT,ab,0,NORET,winter15,KT
CS3,4,RT,ab,0,NORET,winter15,KT
CS4,1,RT,ab,4,NORET,winter15,KT
CS4,2,RT,ab,1,NORET,winter15,KT
CS4,3,RT,ab,0,NORET,winter15,KT
CS4,4,RT,ab,0,NORET,winter15,KT
CS3,1,LTMT,ac,4,NORET,winter15,KT
CS3,2,LTMT,ac,4,NORET,winter15,KT
CS3,3,LTMT,ac,2,NORET,winter15,KT
CS3,4,LTMT,ac,0,NORET,winter15,KT
CS4,1,LTMT,ac,4,NORET,winter15,KT
CS4,2,LTMT,ac,4,NORET,winter15,KT
CS4,3,LTMT,ac,1,NORET,winter15,KT
CS4,4,LTMT,ac,0,NORET,winter15,KT
CS3,1,RT,ac,3,NORET,winter15,KT
