window,trial,session,subject,app,cohort,group,rater
preCS,1,1,a,0,summer15,RET,SL
preCS,2,1,a,0,summer15,RET,SL
preCS,3,1,a,0,summer15,RET,SL
preCS,4,1,a,0,summer15,RET,SL
preCS,5,1,a,0,summer15,RET,SL
preCS,6,1,a,0,summer15,RET,SL
preCS,7,1,a,0,summer15,RET,SL
preCS,8,1,a,3,summer15,RET,SL
CS1,1,1,a,0,summer15,RET,SL
CS1,2,1,a,0,summer15,RET,SL
CS1,3,1,a,0,summer15,RET,SL
CS1,4,1,a,0,summer15,RET,SL
CS1,5,1,a,3,summer15,RET,SL
CS1,6,1,a,0,summer15,RET,SL
CS1,7,1,a,0,summer15,RET,SL
CS1,8,1,a,0,summer15,RET,SL
CS2,1,1,a,0,summer15,RET,SL
CS2,2,1,a,1,summer15,RET,SL
CS2,3,1,a,0,summer15,RET,SL
CS2,4,1,a,0,summer15,RET,SL
CS2,5,1,a,3,summer15,RET,SL
CS2,6,1,a,0,summer15,RET,SL
CS2,7,1,a,0,summer15,RET,SL
CS2,8,1,a,2,summer15,RET,SL
preCS,1,2,a,0,summer15,RET,SL
preCS,2,2,a,0,summer15,RET,SL
preCS,3,2,a,0,summer15,RET,SL
preCS,4,2,a,1,summer15,RET,SL
preCS,5,2,a,1,summer15,RET,SL
preCS,6,2,a,0,summer15,RET,SL
preCS,7,2,a,0,summer15,RET,SL
preCS,8,2,a,0,summer15,RET,SL
CS1,1,2,a,0,summer15,RET,SL
CS1,2,2,a,0,summer15,RET,SL
CS1,3,2,a,0,summer15,RET,SL
CS1,4,2,a,0,summer15,RET,SL
CS1,5,2,a,0,summer15,RET,SL
CS1,6,2,a,0,summer15,RET,SL
CS1,7,2,a,0,summer15,RET,SL
CS1,8,2,a,0,summer15,RET,SL
CS2,1,2,a,1,summer15,RET,SL
CS2,2,2,a,0,summer15,RET,SL
CS2,3,2,a,2,summer15,RET,SL
CS2,4,2,a,0,summer15,RET,SL
CS2,5,2,a,0,summer15,RET,SL
CS2,6,2,a,0,summer15,RET,SL
CS2,7,2,a,0,summer15,RET,SL
CS2,8,2,a,0,summer15,RET,SL
preCS,1,3,a,0,summer15,RET,SL
preCS,2,3,a,0,summer15,RET,SL
preCS,3,3,a,0,summer15,RET,SL
preCS,4,3,a,0,summer15,RET,SL
preCS,5,3,a,0,summer15,RET,SL
preCS,6,3,a,0,summer15,RET,SL
preCS,7,3,a,4,summer15,RET,SL
preCS,8,3,a,4,summer15,RET,SL
CS1,1,3,a,0,summer15,RET,SL
CS1,2,3,a,0,summer15,RET,SL
CS1,3,3,a,0,summer15,RET,SL
CS1,4,3,a,0,summer15,RET,SL
CS1,5,3,a,0,summer15,RET,SL
CS1,6,3,a,0,summer15,RET,SL
CS1,7,3,a,4,summer15,RET,SL
CS1,8,3,a,4,summer15,RET,SL
CS2,1,3,a,1,summer15,RET,SL
CS2,2,3,a,0,summer15,RET,SL
CS2,3,3,a,0,summer15,RET,SL
