cohort,rat,group,session,trial,preCSapp,CS1app,CS2app,bCS1app,bCS2app,CS3con,CS4con,con,preCSor,CS1or,CS2or,CS3or,CS4or,bCS1or,bCS2or
summer15,a,g1,1,1,0,3,4,3,4,3,4,3.5,0,0,0,0,0,0,0
summer15,a,g1,1,2,0,3,4,3,4,3,4,3.5,0,1,0,0,0,1,0
summer15,a,g1,1,3,0,2,3,2,3,3,4,3.5,0,0,0,0,0,0,0
summer15,a,g1,1,4,0,2,3,2,3,3,4,3.5,0,0,0,0,0,0,0
summer15,a,g1,1,5,0,1,3,1,3,3,4,3.5,0,0,1,0,0,0,1
summer15,a,g1,1,6,0,4,4,4,4,3,4,3.5,0,0,0,0,0,0,0
summer15,a,g1,1,7,4,2,4,-2,0,3,4,3.5,0,2,0,0,0,2,0
summer15,a,g1,1,8,0,4,2,4,2,3,4,3.5,0,0,0,0,0,0,0
summer15,a,g1,1,9,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
summer15,a,g1,1,10,0,2,4,2,4,3,4,3.5,0,0,0,0,0,0,0
summer15,a,g1,1,11,2,0,0,-2,-2,2,4,3,0,0,0,0,0,0,0
summer15,a,g1,1,12,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
summer15,a,g1,2,1,1,1,0,0,-1,2,0,1,0,3,3,1,3,3,3
summer15,a,g1,2,2,0,2,3,2,3,3,4,3.5,0,0,0,0,0,0,0
summer15,a,g1,2,3,0,2,4,2,4,3,4,3.5,0,0,0,0,0,0,0
summer15,a,g1,2,4,0,0,0,0,0,3,4,3.5,0,1,4,0,0,1,4
summer15,a,g1,2,5,0,4,2,4,2,3,4,3.5,0,0,0,0,0,0,0
summer15,a,g1,2,6,0,0,0,0,0,0,3,1.5,0,0,1,0,0,0,1
summer15,a,g1,2,7,0,0,1,0,1,3,4,3.5,0,0,2,0,0,0,2
summer15,a,g1,2,8,0,2,3,2,3,3,4,3.5,0,0,0,0,0,0,0
summer15,a,g1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
summer15,a,g1,2,10,0,3,2,3,2,1,1,1,0,0,1,1,1,0,1
summer15,a,g1,2,11,4,3,0,-1,-4,3,4,3.5,0,0,2,0,0,0,2
summer15,a,g1,2,12,0,0,3,0,3,1,2,1.5,0,3,0,2,1,3,0
summer15,a,g1,3,1,0,2,3,2,3,3,4,3.5,0,0,0,0,0,0,0
summer15,a,g1,3,2,0,1,2,1,2,3,4,3.5,0,1,0,0,0,1,0
summer15,a,g1,3,3,0,0,1,0,1,3,4,3.5,0,2,1,0,0,2,1
summer15,a,g1,3,4,0,0,2,0,2,3,4,3.5,0,3,0,0,0,3,0
summer15,a,g1,3,5,0,1,4,1,4,3,4,3.5,0,2,0,0,0,2,0
summer15,a,g1,3,6,0,0,0,0,0,1,4,2.5,0,2,1,0,0,2,1
summer15,a,g1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
summer15,a,g1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
summer15,a,g1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
summer15,a,g1,3,10,0,0,3,0,3,3,4,3.5,0,0,0,0,0,0,0
summer15,a,g1,3,11,3,0,0,-3,-3,1,0,0.5,0,3,4,1,4,3,4
summer15,a,g1,3,12,0,0,0,0,0,1,0,0.5,0,0,0,0,4,0,0
summer15,a,g1,4,1,0,1,1,1,1,3,4,3.5,0,1,1,0,0,1,1
