rat,session,gkg,soln,group,cohort
a,1,0.027149474,10e,RET,summer15
a,2,0.021874739,10e,RET,summer15
a,3,0.078268595,10e,RET,summer15
a,4,0.021559671,10e,RET,summer15
a,5,0.034755647,10e,RET,summer15
a,6,0.199861789,10e,RET,summer15
a,7,0.41206544,10e,RET,summer15
a,8,0.479995935,10e,RET,summer15
a,9,0.449406061,10e,RET,summer15
a,10,0.444023952,10e,RET,summer15
a,11,0.516543651,10e,RET,summer15
a,12,0.545795276,10e,RET,summer15
b,1,0.032157895,15e,RET,summer15
b,2,0.18475162,15e,RET,summer15
b,3,0.342055556,15e,RET,summer15
b,4,0.474789809,15e,RET,summer15
b,5,0.4186,15e,RET,summer15
b,6,0.321715499,15e,RET,summer15
b,7,0.640585263,15e,RET,summer15
b,8,0.567720833,15e,RET,summer15
b,9,0.656825,15e,RET,summer15
b,10,0.70226971,15e,RET,summer15
b,11,0.627310062,15e,RET,summer15
b,12,0.576985567,15e,RET,summer15
c,1,0.051420792,15e,NORET,summer15
c,2,0.050668293,15e,NORET,summer15
c,3,0.0851875,15e,NORET,summer15
c,4,0.128019048,15e,NORET,summer15
c,5,0.151295238,15e,NORET,summer15
c,6,0.357377358,15e,NORET,summer15
c,7,0.546305882,15e,NORET,summer15
c,8,0.697462264,15e,NORET,summer15
c,9,0.809896956,15e,NORET,summer15
c,10,0.710465116,15e,NORET,summer15
c,11,0.79287907,15e,NORET,summer15
c,12,0.702364486,15e,NORET,summer15
d,1,0.01546283,10e,NORET,summer15
d,2,0.009527187,10e,NORET,summer15
d,3,0.057837963,10e,NORET,summer15
d,4,0.094496552,10e,NORET,summer15
d,5,0.171648148,10e,NORET,summer15
d,6,0.13525977,10e,NORET,summer15
d,7,0.20013544,10e,NORET,summer15
d,8,0.227145455,10e,NORET,summer15
d,9,0.203774266,10e,NORET,summer15
d,10,0.407548533,10e,NORET,summer15
d,11,0.385793258,10e,NORET,summer15
d,12,0.216243902,10e,NORET,summer15
e,1,0.154262376,15e,NORET,summer15
e,2,0.29052451,15e,NORET,summer15
e,3,0.287184652,15e,NORET,summer15
e,4,0.68791924,15e,NORET,summer15
e,5,0.745333333,15e,NORET,summer15
