rat,session,gkg,soln,group,cohort
w,1,0.167006667,15,NORET,winter15
w,2,4.828098039,15,NORET,winter15
w,3,4.446503226,15,NORET,winter15
w,4,3.480619195,15,NORET,winter15
w,5,0.688763636,15,NORET,winter15
w,6,2.691266862,15,NORET,winter15
w,7,1.534522989,15,NORET,winter15
w,8,2.503017045,15,NORET,winter15
w,9,10.9535014,15,NORET,winter15
w,10,3.263180055,15,NORET,winter15
w,11,3.92099729,15,NORET,winter15
w,12,3.597385027,15,NORET,winter15
w,13,3.029804124,15,NORET,winter15
w,14,5.286005089,15,NORET,winter15
w,15,3.964643392,15,NORET,winter15
ac,1,1.131335484,15,NORET,winter15
ac,2,3.3605,15,NORET,winter15
ac,3,4.597222892,15,NORET,winter15
ac,4,4.635896848,15,NORET,winter15
ac,5,0.39117847,15,NORET,winter15
ac,6,0.958953678,15,NORET,winter15
ac,7,0.601453125,15,NORET,winter15
ac,8,0.941915938,5,NORET,winter15
ac,9,1.177792347,5,NORET,winter15
ac,10,1.596749633,5,NORET,winter15
ac,11,1.592883173,5,NORET,winter15
ac,12,1.123005,5,NORET,winter15
ac,13,1.546054545,10,NORET,winter15
ac,14,1.190928251,10,NORET,winter15
ac,15,1.597766004,10,NORET,winter15
ad,1,4.285039474,15,RET,winter15
ad,2,7.394069841,15,RET,winter15
ad,3,4.115208723,15,RET,winter15
ad,4,5.775404762,15,RET,winter15
ad,5,6.013526316,15,RET,winter15
ad,6,4.982268571,15,RET,winter15
ad,7,5.439431755,15,RET,winter15
ad,8,4.564826446,15,RET,winter15
ad,9,5.38924933,15,RET,winter15
ad,10,5.628797927,15,RET,winter15
ad,11,4.659266667,15,RET,winter15
ad,12,4.32020202,15,RET,winter15
ad,13,4.360318182,15,RET,winter15
ad,14,3.279672646,15,RET,winter15
ad,15,4.463209524,15,RET,winter15
af,1,0.328537705,15,RET,winter15
af,2,2.146234177,15,RET,winter15
af,3,1.032835913,15,RET,winter15
af,4,4.920252199,15,RET,winter15
af,5,6.766388571,15,RET,winter15
af,6,2.895461111,15,RET,winter15
af,7,2.206205405,15,RET,winter15
af,8,3.231868421,15,RET,winter15
af,9,5.50685347,15,RET,winter15
af,10,4.025591022,15,RET,winter15
af,11,4.523807882,15,RET,winter15
af,12,9.666257282,15,RET,winter15
af,13,4.809629454,15,RET,winter15
af,14,0.079757576,15,RET,winter15
af,15,5.415745958,15,RET,winter15
ae,1,0,15,NORET,winter15
ae,2,0.174571429,15,NORET,winter15
ae,3,2.224815743,5,NORET,winter15
ae,4,2.113550552,5,NORET,winter15
ae,5,2.99456027,5,NORET,winter15
ae,6,2.911971204,5,NORET,winter15
ae,7,4.583493734,10,NORET,winter15
ae,8,4.197584158,10,NORET,winter15
ae,9,3.612363196,10,NORET,winter15
ae,10,3.535451991,10,NORET,winter15
ae,11,2.647196305,15,NORET,winter15
ae,12,3.823945578,15,NORET,winter15
ae,13,3.169230435,15,NORET,winter15
ae,14,3.628727669,15,NORET,winter15
ae,15,3.316111111,15,NORET,winter15
ab,1,0.715919192,15,NORET,winter15
ab,2,1.893296053,15,NORET,winter15
ab,3,1.891006329,15,NORET,winter15
ab,4,4.89928,15,NORET,winter15
ab,5,3.211386905,15,NORET,winter15
ab,6,4.55831085,15,NORET,winter15
ab,7,2.217057143,15,NORET,winter15
ab,8,4.625649718,15,NORET,winter15
ab,9,2.973983425,15,NORET,winter15
ab,10,3.163989189,15,NORET,winter15
ab,11,5.12152356,15,NORET,winter15
ab,12,3.964358442,15,NORET,winter15
ab,13,2.754105528,15,NORET,winter15
ab,14,4.69837931,15,NORET,winter15
ab,15,3.071195181,15,NORET,winter15
aa,1,0.543111111,15,NORET,winter15
aa,2,2.276202985,15,NORET,winter15
aa,3,4.226384615,15,NORET,winter15
aa,4,4.332231638,15,NORET,winter15
aa,5,4.891375691,15,NORET,winter15
aa,6,4.7385,15,NORET,winter15
aa,7,3.286318538,15,NORET,winter15
aa,8,3.790693878,15,NORET,winter15
aa,9,3.845795511,15,NORET,winter15
aa,10,4.514528117,15,NORET,winter15
aa,11,4.02610628,15,NORET,winter15
aa,12,4.252327791,15,NORET,winter15
aa,13,5.204083141,15,NORET,winter15
aa,14,6.487505721,15,NORET,winter15
aa,15,4.384823529,15,NORET,winter15
z,1,1.376683544,15,RET,winter15
z,2,1.926711656,15,RET,winter15
z,3,1.600748538,15,RET,winter15
z,4,2.574438202,15,RET,winter15
z,5,3.277483696,15,RET,winter15
z,6,3.309448276,15,RET,winter15
z,7,3.051850515,15,RET,winter15
z,8,3.31773,15,RET,winter15
z,9,4.324921569,15,RET,winter15
z,10,4.751577197,15,RET,winter15
z,11,4.037168224,15,RET,winter15
z,12,3.663210046,15,RET,winter15
z,13,4.369251641,15,RET,winter15
z,14,3.078805195,15,RET,winter15
z,15,3.979266949,15,RET,winter15
v,1,0.362074074,15,RET,winter15
v,2,0.372876133,15,RET,winter15
v,3,0.355535897,5,RET,winter15
v,4,3.348422802,5,RET,winter15
v,5,3.269127926,5,RET,winter15
v,6,3.116539791,5,RET,winter15
v,7,1.873194015,5,RET,winter15
v,8,2.051636364,10,RET,winter15
v,9,3.003654676,10,RET,winter15
v,10,1.547971963,10,RET,winter15
v,11,2.57143578,10,RET,winter15
v,12,2.92181573,15,RET,winter15
v,13,3.121703057,15,RET,winter15
v,14,3.897260215,15,RET,winter15
v,15,2.959207627,15,RET,winter15
u,1,0.278277228,15,RET,winter15
u,2,4.167333333,15,RET,winter15
u,3,4.273157233,15,RET,winter15
u,4,4.451309309,15,RET,winter15
u,5,3.662416422,15,RET,winter15
u,6,3.589625,15,RET,winter15
u,7,3.909713483,15,RET,winter15
u,8,4.23492011,15,RET,winter15
u,9,3.418341333,15,RET,winter15
u,10,3.395505208,15,RET,winter15
u,11,3.378288608,15,RET,winter15
u,12,3.208892768,15,RET,winter15
u,13,2.580106538,15,RET,winter15
u,14,2.47925,15,RET,winter15
u,15,2.249061905,15,RET,winter15
t,1,0.118258065,5,NORET,winter15
t,2,0.088106583,5,NORET,winter15
t,3,0.007183784,5,NORET,winter15
t,4,0.191283815,5,NORET,winter15
t,5,0.270267227,5,NORET,winter15
t,6,0.173020755,5,NORET,winter15
t,7,0.229304145,5,NORET,winter15
t,8,0.080954315,5,NORET,winter15
t,9,1.02366225,5,NORET,winter15
t,10,1.867390511,5,NORET,winter15
t,11,1.740129496,5,NORET,winter15
t,12,2.331733649,5,NORET,winter15
t,13,2.283058824,10,NORET,winter15
t,14,1.170114035,10,NORET,winter15
t,15,0.888352174,10,NORET,winter15
s,1,2.900266234,15,NORET,winter15
s,2,3.064637224,15,NORET,winter15
s,3,1.494373494,15,NORET,winter15
s,4,1.745212644,15,NORET,winter15
s,5,4.55847191,15,NORET,winter15
s,6,4.363336957,15,NORET,winter15
s,7,4.784550265,15,NORET,winter15
s,8,4.552109948,15,NORET,winter15
s,9,4.598086735,15,NORET,winter15
s,10,5.934129032,15,NORET,winter15
s,11,4.721902913,15,NORET,winter15
s,12,4.553404762,15,NORET,winter15
s,13,4.185764706,15,NORET,winter15
s,14,3.920583333,15,NORET,winter15
s,15,3.41449217,15,NORET,winter15
q,1,0.893,15,RET,winter15
q,2,1.293003058,15,RET,winter15
q,3,1.273221557,15,RET,winter15
q,4,3.313365714,15,RET,winter15
q,5,2.369322222,15,RET,winter15
q,6,3.86531016,15,RET,winter15
q,7,2.87138342,15,RET,winter15
q,8,5.917705584,15,RET,winter15
q,9,5.111279012,15,RET,winter15
q,10,6.279966427,15,RET,winter15
q,11,6.751190588,15,RET,winter15
q,12,2.757908257,15,RET,winter15
q,13,2.797736842,15,RET,winter15
q,14,3.023532189,15,RET,winter15
q,15,2.249,15,RET,winter15
a,1,5.813284345,15,RET,summer15
a,2,0.20239375,15,RET,summer15
a,3,0.852976364,5,RET,summer15
a,4,0.119952722,5,RET,summer15
a,5,2.529872652,5,RET,summer15
a,6,3.003180811,5,RET,summer15
a,7,2.442943636,5,RET,summer15
a,8,3.045540458,5,RET,summer15
a,9,5.293678392,10,RET,summer15
a,10,4.476698795,10,RET,summer15
a,11,3.822307329,10,RET,summer15
a,12,4.574796296,10,RET,summer15
